('2018-01-24 04:47:37,794 - root - INFO - Data of 1-th element received and add')
('2018-01-24 04:47:38,382 - root - INFO - Data of 2-th element received and add')
('2018-01-24 04:47:38,964 - root - INFO - Data of 3-th element received and add')
('2018-01-24 04:47:39,549 - root - INFO - Data of 4-th element received and add')
('2018-01-24 04:47:40,130 - root - INFO - Data of 5-th element received and add')
('2018-01-24 04:47:40,720 - root - INFO - Data of 6-th element received and add')
('2018-01-24 04:47:41,313 - root - INFO - Data of 7-th element received and add')
('2018-01-24 04:47:41,895 - root - INFO - Data of 8-th element received and add')
('2018-01-24 04:47:42,479 - root - INFO - Data of 9-th element received and add')
('2018-01-24 04:47:43,063 - root - INFO - Data of 10-th element received and add')
('2018-01-24 04:47:43,645 - root - INFO - Data of 11-th element received and add')
('2018-01-24 04:47:44,232 - root - INFO - Data of 12-th element received and add')
('2018-01-24 04:47:44,821 - root - INFO - Data of 13-th element received and add')
('2018-01-24 04:47:45,406 - root - INFO - Data of 14-th element received and add')
('2018-01-24 04:47:45,994 - root - INFO - Data of 15-th element received and add')
('2018-01-24 04:47:46,592 - root - INFO - Data of 16-th element received and add')
('2018-01-24 04:47:47,179 - root - INFO - Data of 17-th element received and add')
('2018-01-24 04:47:47,764 - root - INFO - Data of 18-th element received and add')
('2018-01-24 04:47:48,348 - root - INFO - Data of 19-th element received and add')
('2018-01-24 04:47:48,932 - root - INFO - Data of 20-th element received and add')
('2018-01-24 04:47:48,932 - root - INFO - Data of every id jobstories received!')
('2018-01-24 04:47:48,933 - root - INFO - Data is filtered out')
('2018-01-24 04:47:48,934 - root - INFO - File report.csv created!')
('2018-01-24 04:47:48,934 - root - INFO - Header write to file report.csv !')
('2018-01-24 04:47:48,936 - root - INFO - Data write to file report.csv !')
('2018-01-24 05:03:03,398 - root - INFO - Program was started!')
('2018-01-24 05:03:03,401 - root - INFO - Parameters console received!')
('2018-01-24 05:03:03,994 - root - INFO - ALL OK! All id categoty newstories received!')
('2018-01-24 05:03:04,581 - root - INFO - Data of 0-th element received and add')
('2018-01-24 05:03:05,168 - root - INFO - Data of 1-th element received and add')
('2018-01-24 05:03:05,755 - root - INFO - Data of 2-th element received and add')
('2018-01-24 05:03:06,341 - root - INFO - Data of 3-th element received and add')
('2018-01-24 05:03:06,929 - root - INFO - Data of 4-th element received and add')
('2018-01-24 05:03:07,524 - root - INFO - Data of 5-th element received and add')
('2018-01-24 05:03:08,108 - root - INFO - Data of 6-th element received and add')
('2018-01-24 05:03:08,696 - root - INFO - Data of 7-th element received and add')
('2018-01-24 05:03:09,281 - root - INFO - Data of 8-th element received and add')
('2018-01-24 05:03:09,870 - root - INFO - Data of 9-th element received and add')
('2018-01-24 05:03:10,461 - root - INFO - Data of 10-th element received and add')
('2018-01-24 05:03:11,052 - root - INFO - Data of 11-th element received and add')
('2018-01-24 05:03:11,639 - root - INFO - Data of 12-th element received and add')
('2018-01-24 05:03:12,233 - root - INFO - Data of 13-th element received and add')
('2018-01-24 05:03:12,823 - root - INFO - Data of 14-th element received and add')
('2018-01-24 05:03:13,411 - root - INFO - Data of 15-th element received and add')
('2018-01-24 05:03:13,998 - root - INFO - Data of 16-th element received and add')
('2018-01-24 05:03:14,588 - root - INFO - Data of 17-th element received and add')
('2018-01-24 05:03:15,174 - root - INFO - Data of 18-th element received and add')
('2018-01-24 05:03:15,762 - root - INFO - Data of 19-th element received and add')
('2018-01-24 05:03:16,350 - root - INFO - Data of 20-th element received and add')
('2018-01-24 05:03:16,947 - root - INFO - Data of 21-th element received and add')
('2018-01-24 05:03:17,542 - root - INFO - Data of 22-th element received and add')
('2018-01-24 05:03:18,128 - root - INFO - Data of 23-th element received and add')
('2018-01-24 05:03:41,144 - root - INFO - Program was started!')
('2018-01-24 05:03:41,146 - root - INFO - Parameters console received!')
('2018-01-24 05:03:41,785 - root - INFO - ALL OK! All id categoty askstories received!')
('2018-01-24 05:03:42,372 - root - INFO - Data of 0-th element received and add')
('2018-01-24 05:03:42,960 - root - INFO - Data of 1-th element received and add')
('2018-01-24 05:03:43,545 - root - INFO - Data of 2-th element received and add')
('2018-01-24 05:03:44,127 - root - INFO - Data of 3-th element received and add')
('2018-01-24 05:03:44,716 - root - INFO - Data of 4-th element received and add')
('2018-01-24 05:03:45,300 - root - INFO - Data of 5-th element received and add')
('2018-01-24 05:03:45,887 - root - INFO - Data of 6-th element received and add')
('2018-01-24 05:03:46,474 - root - INFO - Data of 7-th element received and add')
('2018-01-24 05:03:47,073 - root - INFO - Data of 8-th element received and add')
('2018-01-24 05:03:47,664 - root - INFO - Data of 9-th element received and add')
('2018-01-24 05:03:48,251 - root - INFO - Data of 10-th element received and add')
('2018-01-24 05:03:48,838 - root - INFO - Data of 11-th element received and add')
('2018-01-24 05:03:49,425 - root - INFO - Data of 12-th element received and add')
('2018-01-24 05:03:50,012 - root - INFO - Data of 13-th element received and add')
('2018-01-24 05:03:50,603 - root - INFO - Data of 14-th element received and add')
('2018-01-24 05:03:51,192 - root - INFO - Data of 15-th element received and add')
('2018-01-24 05:03:51,780 - root - INFO - Data of 16-th element received and add')
('2018-01-24 05:03:52,373 - root - INFO - Data of 17-th element received and add')
('2018-01-24 05:03:52,959 - root - INFO - Data of 18-th element received and add')
('2018-01-24 05:03:53,544 - root - INFO - Data of 19-th element received and add')
('2018-01-24 05:03:54,138 - root - INFO - Data of 20-th element received and add')
('2018-01-24 05:03:54,728 - root - INFO - Data of 21-th element received and add')
('2018-01-24 05:03:55,324 - root - INFO - Data of 22-th element received and add')
('2018-01-24 05:03:55,909 - root - INFO - Data of 23-th element received and add')
('2018-01-24 05:03:56,494 - root - INFO - Data of 24-th element received and add')
('2018-01-24 05:03:57,082 - root - INFO - Data of 25-th element received and add')
('2018-01-24 05:03:57,668 - root - INFO - Data of 26-th element received and add')
('2018-01-24 05:03:58,258 - root - INFO - Data of 27-th element received and add')
('2018-01-24 05:03:58,845 - root - INFO - Data of 28-th element received and add')
('2018-01-24 05:03:59,432 - root - INFO - Data of 29-th element received and add')
('2018-01-24 05:04:00,020 - root - INFO - Data of 30-th element received and add')
('2018-01-24 05:04:00,604 - root - INFO - Data of 31-th element received and add')
('2018-01-24 05:04:01,193 - root - INFO - Data of 32-th element received and add')
('2018-01-24 05:04:01,780 - root - INFO - Data of 33-th element received and add')
('2018-01-24 05:04:02,368 - root - INFO - Data of 34-th element received and add')
('2018-01-24 05:04:02,954 - root - INFO - Data of 35-th element received and add')
('2018-01-24 05:04:03,540 - root - INFO - Data of 36-th element received and add')
('2018-01-24 05:04:04,130 - root - INFO - Data of 37-th element received and add')
('2018-01-24 05:04:04,717 - root - INFO - Data of 38-th element received and add')
('2018-01-24 05:04:05,300 - root - INFO - Data of 39-th element received and add')
('2018-01-24 05:04:05,890 - root - INFO - Data of 40-th element received and add')
('2018-01-24 05:04:06,476 - root - INFO - Data of 41-th element received and add')
('2018-01-24 05:04:07,066 - root - INFO - Data of 42-th element received and add')
('2018-01-24 05:04:07,652 - root - INFO - Data of 43-th element received and add')
('2018-01-24 05:04:08,235 - root - INFO - Data of 44-th element received and add')
('2018-01-24 05:04:08,825 - root - INFO - Data of 45-th element received and add')
('2018-01-24 05:04:09,412 - root - INFO - Data of 46-th element received and add')
('2018-01-24 05:04:09,999 - root - INFO - Data of 47-th element received and add')
('2018-01-24 05:04:10,584 - root - INFO - Data of 48-th element received and add')
('2018-01-24 05:04:11,169 - root - INFO - Data of 49-th element received and add')
('2018-01-24 05:04:11,754 - root - INFO - Data of 50-th element received and add')
('2018-01-24 05:04:12,351 - root - INFO - Data of 51-th element received and add')
('2018-01-24 05:04:12,936 - root - INFO - Data of 52-th element received and add')
('2018-01-24 05:04:13,525 - root - INFO - Data of 53-th element received and add')
('2018-01-24 05:04:14,113 - root - INFO - Data of 54-th element received and add')
('2018-01-24 05:04:14,113 - root - INFO - Data of every id askstories received!')
('2018-01-24 05:04:14,115 - root - INFO - Data is filtered out')
('2018-01-24 05:04:14,116 - root - INFO - File report.csv created!')
('2018-01-24 05:04:14,117 - root - INFO - Header write to file report.csv !')
('2018-01-24 05:04:14,122 - root - INFO - Data write to file report.csv !')
('2018-01-24 05:04:14,717 - root - INFO - ALL OK! All id categoty showstories received!')
('2018-01-24 05:04:15,305 - root - INFO - Data of 0-th element received and add')
('2018-01-24 05:04:15,910 - root - INFO - Data of 1-th element received and add')
('2018-01-24 05:04:16,497 - root - INFO - Data of 2-th element received and add')
('2018-01-24 05:04:17,083 - root - INFO - Data of 3-th element received and add')
('2018-01-24 05:04:17,666 - root - INFO - Data of 4-th element received and add')
('2018-01-24 05:04:18,253 - root - INFO - Data of 5-th element received and add')
('2018-01-24 05:04:18,848 - root - INFO - Data of 6-th element received and add')
('2018-01-24 05:04:19,432 - root - INFO - Data of 7-th element received and add')
('2018-01-24 05:04:20,018 - root - INFO - Data of 8-th element received and add')
('2018-01-24 05:04:20,604 - root - INFO - Data of 9-th element received and add')
('2018-01-24 05:04:21,190 - root - INFO - Data of 10-th element received and add')
('2018-01-24 05:04:22,813 - root - INFO - Data of 11-th element received and add')
('2018-01-24 05:04:23,449 - root - INFO - Data of 12-th element received and add')
('2018-01-24 05:04:24,038 - root - INFO - Data of 13-th element received and add')
('2018-01-24 05:04:24,623 - root - INFO - Data of 14-th element received and add')
('2018-01-24 05:04:25,206 - root - INFO - Data of 15-th element received and add')
('2018-01-24 05:04:25,794 - root - INFO - Data of 16-th element received and add')
('2018-01-24 05:04:26,382 - root - INFO - Data of 17-th element received and add')
('2018-01-24 05:04:26,966 - root - INFO - Data of 18-th element received and add')
('2018-01-24 05:04:27,552 - root - INFO - Data of 19-th element received and add')
('2018-01-24 05:04:28,142 - root - INFO - Data of 20-th element received and add')
('2018-01-24 05:04:29,660 - root - INFO - Data of 21-th element received and add')
('2018-01-24 05:04:30,245 - root - INFO - Data of 22-th element received and add')
('2018-01-24 05:04:30,829 - root - INFO - Data of 23-th element received and add')
('2018-01-24 05:04:31,411 - root - INFO - Data of 24-th element received and add')
('2018-01-24 05:04:31,999 - root - INFO - Data of 25-th element received and add')
('2018-01-24 05:04:32,583 - root - INFO - Data of 26-th element received and add')
('2018-01-24 05:04:33,170 - root - INFO - Data of 27-th element received and add')
('2018-01-24 05:04:33,753 - root - INFO - Data of 28-th element received and add')
('2018-01-24 05:04:34,338 - root - INFO - Data of 29-th element received and add')
('2018-01-24 05:04:34,927 - root - INFO - Data of 30-th element received and add')
('2018-01-24 05:04:35,512 - root - INFO - Data of 31-th element received and add')
('2018-01-24 05:04:36,097 - root - INFO - Data of 32-th element received and add')
('2018-01-24 05:04:36,683 - root - INFO - Data of 33-th element received and add')
('2018-01-24 05:04:37,272 - root - INFO - Data of 34-th element received and add')
('2018-01-24 05:04:37,856 - root - INFO - Data of 35-th element received and add')
('2018-01-24 05:04:38,445 - root - INFO - Data of 36-th element received and add')
('2018-01-24 05:04:39,031 - root - INFO - Data of 37-th element received and add')
('2018-01-24 05:04:39,616 - root - INFO - Data of 38-th element received and add')
